Filename852-delno	Pade v menu	CategoryTag	Tag1	Področje	Tag3	Podlaga	Tehnika	Tag6	Tag7	Tag8	Tag9
Snemanje in fotografiranje prireditev in sej_(EM)_Kuτeviå.odt	IP RS | Mnenja IP	Mnenje IP	snemanje		fotografija						
snemanje javnega dogodka_napotitev_0712-1 2018 1604.odt	IP RS | Mnenja IP	Mnenje IP	snemanje								
snemanje pogovorov v dispeƒerski sluºbi_0712-1 2018 1007.odt	IP RS | Mnenja IP	Mnenje IP	snemanje								
sorodna storitev GDPR_mnenje_Nuτa.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
spletna platforma za e-glasovanje.odt	IP RS | Mnenja IP	Mnenje IP									
spletna stran IP_6jun2018.odt	IP RS | Mnenja IP	Mnenje IP									
spletne uƒilnice in obveτƒanje posameznikov_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP									
uporaba e-naslovov in privolitev.odt	IP RS | Mnenja IP	Mnenje IP							privolitev		
Uporaba enaslova za neposredno trºenje.odt	IP RS | Mnenja IP	Mnenje IP								neposredno trženje	
Uporaba enaslovov za trzenje, privolitev po GDPR_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
uporaba javno dostopnih op.odt	IP RS | Mnenja IP	Mnenje IP								dostopne pravice	
uporaba podatkov iz delniτke knjige za poτiljanje prevzemne ponudbe.odt	IP RS | Mnenja IP	Mnenje IP									
Uporaba poτtnega nabiralnika ARNES v τolah.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo							
Upravljanje facebook strani in obdelava OP_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP	Facebook								
ustreznost privolitev_obveτƒanja_po_GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
uvedba videonadzora v veƒstanovanski stavbi.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
uvedba videonadzora.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
videonadzor soseda in fotografiranje,29.5.2018.odt	IP RS | Mnenja IP	Mnenje IP			fotografija		Videonadzor				
